,sentID,sent,words,countWords,countVerbs,repatingSeq,repatingNouns
14,mbh12_26120.xml,"i,m1p,m1p,i,m2s,i,ipf[4] a3p,i,i,f2s,prf a3p,ipv[1] a2s,fvs,m2s,cau ipv m2s,i","tataH,devAH,fzayaH,ca,indram,na,apaSyan,yadA,tadA,SacIm,UcuH,gacCa,suBage,indram,Anayasva,iti",16,4,"{'i': [0, 3, 5, 7, 8, 15], 'm1p': [1, 2], 'm2s': [4, 13]}","{'accusative': [2, 3, 5], 'nominative': [0, 1]}"
15,mbh12_26118.xml,"i,m1s,m1s,m2p,ipf[2] a3s,iic,m2s,m2s,m2s,m1s,i,ipv[1] a3s","tataH,sa,varadaH,tAn,abravIt,aSva,meDam,yajYam,vEzRavam,SakraH,aBi,yajatu",12,2,"{'i': [0, 10], 'm1s': [1, 2, 9], 'm2s': [6, 7, 8]}","{'accusative': [2, 3, 4, 5], 'nominative': [0, 1, 6]}"
16,mbh01_964.xml,"m1s,m1s,i,m3p,iic,n7s,n2s,i,pre[2] m3s","janamejayaH,pArikzitaH,saha,BrAtfBiH,kuru,kzetre,dIrGasatram,upa,Aste",9,1,"{'i': [2, 7], 'm1s': [0, 1]}","{'nominative': [0, 1]}"
17,mbh03_14457.xml,"i,i,i,f2s,f6s,i,n7s,i,i,f3s,f3s,i,ipf[1] a3s","dfzwvA,eva,ca,tAm,tasyAH,eva,tIre,saha,eva,tayA,devyA,vi,atizWat",13,1,"{'i': [0, 1, 2, 5, 7, 8, 11], 'f3s': [9, 10]}","{'instrumental': [3, 4]}"
18,mbh12_26087.xml,"f1s,f1s,iic,n2s,aor[root] a3s","sA,upaSrutiH,SacI,samIpam,agAt",5,1,"{'f1s': [0, 1]}","{'nominative': [0, 1]}"
19,mbh12_26104.xml,"x1s,n3s,iic,i,pre[1] a2s,i","tvam,anyena,upa,yAtum,arhasi,iti",6,1,"{'i': [3, 5]}",{}
20,mbh03_14458.xml,"i,f2s,f2s,m1s,m1s,ipf[2] a3s","aTa,tAm,devIm,sa,rAjA,abravIt",6,1,"{'f2s': [1, 2], 'm1s': [3, 4]}","{'accusative': [0, 1], 'nominative': [2, 3]}"
21,mbh03_14415.xml,"i,i,ipf[2] m3s,m1s","aTa,A,acazwa,mArkaRqeyaH",4,1,"{'i': [0, 1]}",{}
22,mbh03_14608.xml,"i,m1s,m1s,m1s,prf a3s,m2d,i,m4s,i,i,prf a3s,iic,i","tataH,sa,rAjA,muditaH,baBUva,vAmyO,ca,asmE,sam,pra,dadO,pra,namya",13,1,"{'i': [0, 6, 8, 9, 12], 'm1s': [1, 2, 3], 'prf a3s': [4, 10]}","{'nominative': [0, 1, 2]}"
23,mbh12_26111.xml,"m3d,i,m3s,ipf p3s","padByAm,ca,tena,aspfSyata",4,1,{},"{'instrumental': [0, 1]}"
24,mbh03_14459.xml,"i,i,ipv[1] a2s,iic,n2s,i","sADu,ava,tara,vApI,salilam,iti",6,1,"{'i': [0, 1, 5]}",{}
25,mbh12_26013.xml,"m1s,i,m1s,iic,m1s,m6p,ipf[2] a3s,m1s,m6p","viSvarUpaH,vE,tvAzwraH,puraH,hitaH,devAnAm,AsIt,svasrIyaH,asurARAm",9,1,"{'m6p': [5, 8], 'm1s': [0, 2, 4, 7]}","{'genitive': [3, 5], 'nominative': [0, 1, 2, 4]}"
26,mbh03_14496.xml,"m1s,prf a3s,f2s","saH,uvAca,duhitaram",3,1,{},{}
27,mbh12_13923.xml,"f1s,iic,m6p,f1s,m1p,f1p","pfTivI,sarva,BUtAnAm,janitrI,viDAH,striyaH",6,0,"{'f1s': [0, 3]}","{'nominative': [0, 2, 3, 4]}"
28,mbh12_26001.xml,"iic,iic,n1s,i,m5s,iic,f2s,m1s,iic,m1s","ahalyA,DarzaRa,nimittam,hi,gOtamAt,hari,SmaSrutAm,indraH,pra,AptaH",10,0,"{'m1s': [7, 9], 'iic': [0, 1, 5, 8]}","{'nominative': [0, 3, 4]}"
29,mbh12_26020.xml,"mvs,n1s,iic,iic,m1s,x1s,iic,m2s,cau pre a2s","putra,kim,para,pakza,varDanaH,tvam,mAtula,pakzam,nASayasi",9,1,"{'iic': [2, 3, 6]}","{'nominative': [1, 2]}"
30,mbh03_14645.xml,"i,m1s,m1s,m2s,m2s,m2s,f1s,prf a3s","tataH,sa,bakaH,tam,akUpAram,kacCapam,vijYApyAm,Asa",8,1,"{'m1s': [1, 2], 'm2s': [3, 4, 5]}","{'accusative': [2, 3, 4], 'nominative': [0, 1, 5]}"
31,mbh12_13910.xml,"iic,n5s,i,n1s,i,n1s,iic,m1p,iic,n2s,i,i,pre[1] m3p,i,n2s","an,ftAt,Kalu,tamaH,prAduH,BUtam,tamaH,grastAH,a,Darmam,eva,anu,vartante,na,Darmam",15,1,"{'i': [2, 4, 10, 11, 13], 'n1s': [3, 5], 'n2s': [9, 14], 'iic': [0, 6, 8]}","{'accusative': [4, 5], 'nominative': [1, 2, 3]}"
32,mbh03_14524.xml,"m1s,i,m2d,m2d,iic,i,iic,i,i,m2s,i,ipf[2] a3s,iic,iic,m3s,m3s,m2s,i","sa,ca,tO,aSvO,prati,gfhya,anu,jYApya,ca,fzim,pra,ayAt,vAmya,sam,yuktena,raTena,mfgam,prati",18,1,"{'i': [1, 5, 7, 8, 10, 17], 'm2d': [2, 3], 'm3s': [14, 15], 'iic': [4, 6, 12, 13], 'm2s': [9, 16]}","{'accusative': [1, 2, 3, 6], 'instrumental': [4, 5]}"
33,mbh12_26093.xml,"f2s,m1s,f2s,f2s,f2s,i,i,i,prf a3s","tAm,indraH,patnIm,kfSAm,glAnAm,ca,dfzwvA,cintayAm,baBUva",9,1,"{'f2s': [0, 2, 3, 4], 'i': [5, 6, 7]}","{'accusative': [0, 2, 3, 4]}"
34,mbh12_26155.xml,"iic,n2s,m2s,aor[a] a3s,n1s,m6s,iic,n1s,n1s,ipf[1] a3s","meGa,sadfSam,varRam,agamat,tat,asya,SaSa,lakzma,vimalam,aBavat",10,2,"{'n1s': [4, 7, 8], 'iic': [0, 6]}","{'accusative': [0, 1], 'nominative': [2, 4, 5]}"
35,mbh12_13922.xml,"m7s,n1s,i,prf a3p,n1s,i,n1s,n1s","narake,duHKam,eva,AhuH,samam,tu,paramam,padam",8,1,"{'i': [2, 5], 'n1s': [1, 4, 6, 7]}","{'nominative': [1, 2, 3, 4]}"
36,mbh12_26167.xml,"m6s,m6s,f2s,f2s,m1s,prf m3s","himavataH,gireH,duhitaram,umAm,rudraH,cakame",6,1,"{'f2s': [2, 3], 'm6s': [0, 1]}","{'accusative': [2, 3], 'genitive': [0, 1]}"
37,mbh12_25958.xml,"i,ipf[2] a3s,n1s,i,f1s,ipf[2] a3s","na,AsIt,ahaH,na,rAtriH,AsIt",6,1,"{'i': [0, 3], 'ipf[2] a3s': [1, 5]}","{'nominative': [0, 1]}"
38,mbh03_14601.xml,"x3s,n2s,iic,n2s,iic,fvs,n2s,ipv[9] m2s,n2s,ipv[3] a1s,x4s","tvayA,trAtam,rAja,kulam,SuBa,IkzaRe,varam,vfRIzva,apratimam,dadAni,te",11,2,"{'n2s': [1, 3, 6, 8], 'iic': [2, 4]}","{'accusative': [0, 1, 3, 4]}"
39,mbh03_14522.xml,"ipv[1] a1s,x4s,m2d","dadAni,te,vAmyO",3,1,{},{}
40,mbh12_13980.xml,"m1s,pop[1] a3s,i,m2p,pop[1] a3s,m2p,i,m2p","sa,dahet,agnivat,dozAn,jayet,lokAn,ca,durjayAn",8,1,"{'i': [2, 6], 'm2p': [3, 5, 7], 'pop[1] a3s': [1, 4]}","{'accusative': [1, 2, 3]}"
41,mbh03_14416.xml,"f7s,iic,iic,iic,m1s,m1s,m1s,n1s,f2s,aor[a] a3s","ayoDyAyAm,ikzvAku,kula,ut,pannaH,pArTivaH,parikzit,nAma,mfgayAm,agamat",10,1,"{'m1s': [4, 5, 6], 'iic': [1, 2, 3]}","{'nominative': [1, 2, 3, 4]}"
42,mbh03_14640.xml,"i,m1s,x3p,m1s","tataH,saH,asmABiH,pfzwaH",4,0,"{'m1s': [1, 3]}","{'nominative': [0, 1]}"
43,mbh01_7111.xml,"ipv[5] a2s,mVs,i,i,x3s,n5s,n1s","SfRu,rAjan,purA,samyak,mayA,dvEpAyanAt,Srutam",7,1,"{'i': [2, 3]}",{}
44,mbh12_26090.xml,"f2s,m3s,iic,i,prf a3s,f1s,fvs,pre[1] a2s,x6s,m2s,i,x1s,f1s,f1s,i,i","tAm,mUrDnA,pra,namya,uvAca,SacI,Bagavati,arhasi,me,BartAram,darSayitum,tvam,satyA,matA,ca,iti",16,2,"{'i': [3, 10, 14, 15], 'f1s': [5, 12, 13]}","{'accusative': [0, 4], 'nominative': [2, 5, 6]}"
45,mbh12_26171.xml,"i,i,n1s,iic,n1s,iic,n1s","adya,praBfti,etat,ava,sTitam,fzi,vacanam",7,0,"{'i': [0, 1], 'n1s': [2, 4, 6], 'iic': [3, 5]}","{'nominative': [0, 1, 2]}"
46,mbh12_25998.xml,"iic,iic,iic,n5s,iic,iic,iic,m1p,iic,m1p,iic,m1p,iic,m1p,i,m1p","veda,purARa,itihAsa,prAmARyAt,nArAyaRa,muKa,ut,gatAH,sarva,AtmAnaH,sarva,kartAraH,sarva,BAvanAH,ca,brAhmaRAH",16,0,"{'m1p': [7, 9, 11, 13, 15], 'iic': [0, 1, 2, 4, 5, 6, 8, 10, 12]}","{'nominative': [1, 2, 3, 4, 5]}"
47,mbh03_14503.xml,"i,i,i,m1s,f2s,ipf[1] a3s","aTa,kadA,cit,SalaH,mfgayAm,acarat",6,1,"{'i': [0, 1, 2]}",{}
48,mbh03_14646.xml,"pre[2] a3s,x6p,iic,iic,n1s,m2s,m2s,i,m2s,iic,i","asti,asmAkam,aBi,pra,itam,Bavantam,kam,cit,arTam,aBi,prazwum",11,1,"{'i': [7, 10], 'iic': [2, 3, 9], 'm2s': [5, 6, 8]}","{'accusative': [1, 2, 3]}"
49,mbh12_26169.xml,"m2s,ipf[2] a3s,m1s,i,m1s,m1s,m1s,i","tam,abravIt,himavAn,aBi,lazitaH,varaH,rudraH,iti",8,1,"{'i': [3, 7], 'm1s': [2, 4, 5, 6]}","{'nominative': [1, 2, 3, 4]}"
50,mbh03_14454.xml,"m1s,i,n7s,n7s,n7s,f3s,i,i,i,i,ipf[1] a3s","sa,kadA,cit,tasmin,vane,ramye,tayA,eva,saha,ava,vi,aharat",11,1,"{'i': [1, 6, 7, 8, 9], 'n7s': [2, 3, 4]}","{'locative': [1, 2, 3]}"
52,mbh03_14674.xml,"n1s,n1s,m3s,m2s,m2s,iic,m5s,m2s,m7s,n7s,m7s,i,i,cau ipv a2p,i","SoBanam,kftam,BavatA,rAjAnam,indradyumnam,svarga,lokAt,cyutam,sve,sTAne,svarge,punaH,prati,pAdayata,iti",15,1,"{'m7s': [8, 10], 'n1s': [0, 1], 'i': [11, 12, 14], 'm2s': [3, 4, 7]}","{'accusative': [3, 4, 6], 'nominative': [0, 1], 'locative': [7, 8, 9]}"
53,mbh03_14615.xml,"m1s,x2s,i,ipf[1] a3s","sa,mAm,upa,atizWat",4,1,{},{}
54,mbh12_13950.xml,"pre[1] a3s,i,i,m1s","Bavati,ca,atra,SlokaH",4,1,"{'i': [1, 2]}",{}
56,mbh12_26097.xml,"f1s,m2s,prf a3s","sA,tam,uvAca",3,1,{},{}
57,mbh03_14456.xml,"n2s,iic,i,m1s,m1s,i,f3s,iic,iic,f2s,iic,iic,f2s,f2s,ipf[4] a3s","tat,pra,viSya,rAjA,sa,saha,priyayA,suDA,tala,sukftAm,vimala,salila,pUrRAm,vApIm,apaSyat",15,1,"{'i': [2, 5], 'f2s': [9, 12, 13], 'm1s': [3, 4], 'iic': [1, 7, 8, 10, 11]}","{'accusative': [0, 4, 5, 6], 'nominative': [1, 2]}"
58,mbh03_14654.xml,"n1s,i,n1s,m6s,iic,f3p,f3p,i,f3p,n1s","saraH,ca,idam,asya,dakziRA,dattABiH,goBiH,ati,kramamARABiH,kftam",10,0,"{'i': [1, 7], 'n1s': [0, 2, 9], 'f3p': [5, 6, 8]}","{'instrumental': [3, 4, 5], 'nominative': [0, 1, 6]}"
59,mbh12_26168.xml,"m1s,i,i,iic,m1s,m2s,iic,i,ipf[2] a3s,f2s,f2s,x4s,ipv[3] a2s,i","BfguH,api,ca,mahA,fziH,himavantam,A,gamya,abravIt,kanyAm,umAm,me,dehi,iti",14,2,"{'i': [1, 2, 7, 13], 'f2s': [9, 10], 'm1s': [0, 4], 'iic': [3, 6]}","{'accusative': [2, 3, 4], 'nominative': [0, 1]}"
60,mbh03_14672.xml,"m1p,i,prf a3p,m1p","pARqavAH,ca,UcuH,prItAH",4,1,"{'m1p': [0, 3]}","{'nominative': [0, 1]}"
61,mbh03_14460.xml,"f1s,iic,n2s,i,iic,i,f2s,i,ipf[6] a3s","sA,tat,vacaH,SrutvA,ava,tIrya,vApIm,ni,amajjat",9,1,"{'i': [3, 5, 7], 'iic': [1, 4]}","{'accusative': [1, 2]}"
62,mbh03_14526.xml,"iic,m1d,m1d,iic,m1d,m6p","aSva,ratnO,imO,a,yogyO,brAhmaRAnAm",6,0,"{'m1d': [1, 2, 4], 'iic': [0, 3]}","{'nominative': [0, 1, 2]}"
63,mbh12_26052.xml,"i,m1s,i,i,iic,m1s,iic,iic,m1s,iic,m1s,x2s,i,i,iic,m2s,prf a3s","aTa,daDIcaH,taTA,eva,a,vimanAH,suKa,duHKa,samaH,mahA,yogI,AtmAnam,sam,DAya,SarIra,parityAgam,cakAra",17,1,"{'i': [0, 2, 3, 12, 13], 'm1s': [1, 5, 8, 10], 'iic': [4, 6, 7, 9, 14]}","{'nominative': [0, 1, 2, 3]}"
64,mbh03_14614.xml,"f1s,x6s,iic,iic,f1s,i","kIrtiH,te,vi,ud,CinnA,iti",6,0,"{'f1s': [0, 4], 'iic': [2, 3]}","{'nominative': [0, 1]}"
65,mbh12_13984.xml,"pre[1] a3s,i,i,m1s","Bavati,ca,atra,SlokaH",4,1,"{'i': [1, 2]}",{}
66,mbh03_14493.xml,"i,f2s,m4s,m1s,ipf[2] a3s","aTa,enAm,rAjYe,pitA,adAt",5,1,{},{}
67,mbh12_26081.xml,"m1s,f3s,i,i,m1s,m1s,prf a3s","sa,SacyA,evam,aBi,hitaH,nahuzaH,jagAma",7,1,"{'i': [2, 3], 'm1s': [0, 4, 5]}","{'nominative': [0, 2, 3]}"
70,mbh12_26099.xml,"m1s,i,m6s,x3s,m1s,i","kAlaH,ca,asya,mayA,kftaH,iti",6,0,"{'i': [1, 5], 'm1s': [0, 4]}","{'nominative': [0, 2]}"
71,mbh03_14447.xml,"n2s,i,n2s,pre[1] m3s,i","kim,atra,prayojanam,vartate,iti",5,1,"{'n2s': [0, 2], 'i': [1, 4]}","{'accusative': [0, 1]}"
72,mbh12_13915.xml,"iic,iic,iic,iic,n3p,i,m3p,m3p,i,pre p3p,iic,iic,n3p,i,n3p,i","banDu,Dana,vinASa,viprayoga,kftEH,ca,mAnasEH,SokEH,aBi,BUyante,jarA,mftyu,kftEH,ca,AnyEH,iti",16,1,"{'n3p': [4, 12, 14], 'i': [5, 8, 13, 15], 'iic': [0, 1, 2, 3, 10, 11], 'm3p': [6, 7]}","{'instrumental': [0, 1, 2, 3, 4]}"
73,mbh12_25950.xml,"iic,iic,n7s,iic,n7s,n7s,iic,iic,n7s","saM,prakzAlana,kAle,ati,krAnte,caturTe,yuga,sahasra,Ante",9,0,"{'iic': [0, 1, 3, 6, 7], 'n7s': [2, 4, 5, 8]}","{'locative': [0, 1, 2, 3]}"
74,mbh12_13932.xml,"n3s,m1s,i,prf a3p,n3s,n2s,pop[5] a3s","dAnena,BogaH,iti,AhuH,tapasA,sarvam,ApnuyAt",7,2,"{'n3s': [0, 4]}","{'instrumental': [0, 2]}"
75,mbh12_25959.xml,"i,n1s,ipf[2] a3s,i,iic,n1s,ipf[2] a3s","na,sat,AsIt,na,a,sat,AsIt",7,1,"{'i': [0, 3], 'n1s': [1, 5], 'ipf[2] a3s': [2, 6]}","{'nominative': [0, 1]}"
76,mbh03_14562.xml,"m1p,x2s,prf a3p,m2s,mvs,f3s,i,n3s,n3s,i","ye,tvA,viduH,brAhmaRam,vAmadeva,vAcA,hantum,manasA,karmaRA,vA",10,1,"{'i': [6, 9], 'n3s': [7, 8]}","{'instrumental': [3, 4, 5]}"
77,mbh12_26098.xml,"m1s,x2s,i,pre[1] a3s","nahuzaH,mAm,A,hvayati",4,1,{},{}
78,mbh03_14550.xml,"m1d,m1d,n1s,m1d,n1s,m6p,n1s,mvs","anaqvAhO,suvratO,sADu,dAntO,etat,viprARAm,vAhanam,vAmadeva",8,0,"{'n1s': [2, 4, 6], 'm1d': [0, 1, 3]}","{'nominative': [0, 1, 2, 3, 4, 6]}"
79,mbh12_26008.xml,"n7s,i,n7s,n7s,iic,iic,iic,n5s,iic,n1s,i,i","pUrve,ca,manvantare,svAyamBuve,nArAyaRa,hasta,banDa,grahaRAt,nIla,kaRWatvam,eva,vA",12,0,"{'i': [1, 10, 11], 'iic': [4, 5, 6, 8], 'n7s': [0, 2, 3]}","{'locative': [0, 1, 2]}"
80,mbh12_26014.xml,"m1s,i,m4p,m2s,ipf[1] a3s,i,m4p","sa,pratyakzam,deveByaH,BAgam,adadat,parokzam,asureByaH",7,1,"{'i': [1, 5], 'm4p': [2, 6]}","{'dative': [1, 3]}"
81,mbh12_26049.xml,"m2p,m1s,prf a3s,n1s,m4p,n1s,ipv p3s","tAn,daDIcaH,uvAca,svAgatam,BavadByaH,kim,kriyatAm",7,2,"{'n1s': [3, 5]}","{'nominative': [1, 2, 4]}"
82,mbh12_25949.xml,"iic,iic,m2s,mvs,ipv[5] m2s,m1s,x6s","Atma,teja,udBavam,pArTa,SfRuzva,ekamanAH,mama",7,1,"{'iic': [0, 1]}",{}
83,mbh12_26086.xml,"f1s,i,iic,m2s,iic,f1p,f2s,f2s,f2s,m3p,iic,ipf[1] a3s","sA,aTa,mahA,niyamam,A,sTitAH,devIm,varadAm,upaSrutim,mantrEH,A,ahvayat",12,1,"{'f2s': [6, 7, 8], 'iic': [2, 4, 10]}","{'accusative': [1, 3, 4, 5], 'nominative': [0, 2]}"
84,mbh12_26003.xml,"m6d,iic,iic,iic,iic,m6s,m6s,m3s,m1s,m1s","aSvinoH,graha,pratizeDa,ud,yata,vajrasya,puraMdarasya,cyavanena,stamBitaH,bAhuH",10,0,"{'m1s': [8, 9], 'm6s': [5, 6], 'iic': [1, 2, 3, 4]}","{'genitive': [0, 1, 2], 'nominative': [4, 5]}"
85,mbh12_25951.xml,"iic,iic,n7s,iic,iic,m7s,iic,n7s","a,vi,akte,sarva,BUta,pralaye,sTAvara,jaNgame",8,0,"{'iic': [0, 1, 3, 4, 6], 'n7s': [2, 7]}","{'locative': [0, 1, 2]}"
86,mbh12_25990.xml,"n2s,m1s,ipf[6] a3s,i,iic,m1s,iic,m2s","viSvam,brahmA,asfjat,pUrvam,sarva,AdiH,niH,avaskaram",8,1,"{'m1s': [1, 5], 'iic': [4, 6]}","{'accusative': [0, 3], 'nominative': [1, 2]}"
87,mbh03_14610.xml,"m2s,m1p,m1p,i,i,ipf[6] a3p","mArkaRqeyam,fzayaH,pARqavAH,ca,pari,apfcCan",6,1,"{'i': [3, 4], 'm1p': [1, 2]}","{'nominative': [1, 2]}"
88,mbh03_14464.xml,"iic,iic,m1s,ipv p3s,i","sarva,maRqUka,vaDaH,kriyatAm,iti",5,1,"{'iic': [0, 1]}",{}
89,mbh12_13978.xml,"iic,iic,iic,iic,m1p,iic,iic,iic,iic,iic,iic,iic,iic,iic,iic,m1p,iic,m1p,iic,iic,f1s,f1s,iic,iic,m1p,iic,iic,iic,iic,iic,iic,m1p,iic,iic,iic,iic,m1p,iic,iic,iic,iic,iic,iic,iic,m1p,iic,iic,iic,iic,iic,iic,m1p,f1s,iic,iic,iic,iic,iic,iic,iic,m1p,iic,iic,iic,iic,iic,iic,iic,iic,iic,iic,iic,m1p,iic,m1p,iic,m5s,n2p,i,pre[1] a3p","tyakta,grAmya,vastra,AhAra,upaBogAH,vanya,OzaDi,mUla,Pala,parRa,pari,mita,vicitra,ni,yata,AhArAH,sTAna,AsaninaH,BUmi,pAzARa,sikatA,SarkarA,vAlukA,Basma,SAyinaH,kASa,kuSa,carma,valkala,saM,vfta,aNgAH,keSa,SmaSru,naKa,roma,DAriRaH,niyata,kAla,upasparSanAH,askanna,homa,bali,kAla,anu,zWAyinaH,samitkuSa,kusuma,upahAra,homa,arjana,labDa,viSrAmAH,SItA,uzRa,pavana,niH,tapta,vi,Binna,sarva,tvacaH,viviDa,niyama,yoga,carya,avihita,Darma,anu,zWAna,hfta,mAMsa,SoRitAH,tvak,asTi,BUtAH,Dfti,parAH,sattva,yogAt,SarIrARi,ud,vahanti",80,1,"{'m1p': [4, 15, 17, 24, 31, 36, 44, 51, 60, 72, 74], 'iic': [0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18, 19, 22, 23, 25, 26, 27, 28, 29, 30, 32, 33, 34, 35, 37, 38, 39, 40, 41, 42, 43, 45, 46, 47, 48, 49, 50, 53, 54, 55, 56, 57, 58, 59, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 73, 75], 'f1s': [20, 21, 52]}","{'nominative': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]}"
90,mbh03_14507.xml,"m1s,i,m1s,m1s,m2s,ipf[2] a3s","sa,taTA,uktaH,sUtaH,rAjAnam,abravIt",6,1,"{'m1s': [0, 2, 3]}","{'nominative': [0, 1, 2]}"
92,mbh12_25954.xml,"i,f7s,i,m7s,i,n7s,i,iic,n7s,i,iic,n7s,i,iic,iic,n7s,iic,iic,n7s","na,rAtryAm,na,divase,na,sati,na,a,sati,na,vi,akte,na,a,vi,akte,vi,ava,sTite",19,0,"{'i': [0, 2, 4, 6, 9, 12], 'iic': [7, 10, 13, 14, 16, 17], 'n7s': [5, 8, 11, 15, 18]}","{'locative': [0, 1, 2, 3, 4, 5, 6]}"
93,mbh12_13887.xml,"i,n1s,iic,n1s,m1s,iic,m1s,m1s,iic,m1s,n1s,n1s,n1s,n1s,n1s,n1s,i","tatra,yat,an,ftam,saH,a,DarmaH,yaH,a,DarmaH,tat,tamaH,yat,tamaH,tat,duHKam,iti",17,0,"{'i': [0, 16], 'n1s': [1, 3, 10, 11, 12, 13, 14, 15], 'm1s': [4, 6, 7, 9], 'iic': [2, 5, 8]}","{'nominative': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]}"
94,mbh12_26085.xml,"f1s,x6s,m2s,cau fut a3s,i","sA,tava,indram,darSayizyati,iti",5,1,{},{}
96,mbh12_26015.xml,"i,m2s,iic,i,iic,f2s,f2s,m1p,n2s,ipf[1] m3p","aTa,hiraRyakaSipum,puraH,kftya,viSvarUpa,mAtaram,svasAram,asurAH,varam,ayAcanta",10,1,"{'i': [0, 3], 'f2s': [5, 6], 'iic': [2, 4]}","{'accusative': [0, 1, 2, 4]}"
97,mbh12_13931.xml,"n3s,pre p3s,n1s,iic,m7s,f1s,f1s","hutena,SAmyate,pApam,sva,aDyAye,SAntiH,uttamA",7,1,"{'f1s': [5, 6]}","{'nominative': [1, 3, 4]}"
